Timestamp,Power
01.01.2017 00:00 - 01.01.2017 00:15,15.437
01.01.2017 00:15 - 01.01.2017 00:30,17.409
01.01.2017 00:30 - 01.01.2017 00:45,33.869
01.01.2017 00:45 - 01.01.2017 01:00,46.915
01.01.2017 01:00 - 01.01.2017 01:15,55.571
01.01.2017 01:15 - 01.01.2017 01:30,35.268
01.01.2017 01:30 - 01.01.2017 01:45,50.618
01.01.2017 01:45 - 01.01.2017 02:00,84.309
01.01.2017 02:00 - 01.01.2017 02:15,49.286
01.01.2017 02:15 - 01.01.2017 02:30,24.229
01.01.2017 02:30 - 01.01.2017 02:45,96.329
01.01.2017 02:45 - 01.01.2017 03:00,27.452
01.01.2017 03:00 - 01.01.2017 03:15,34.772
01.01.2017 03:15 - 01.01.2017 03:30,58.260
01.01.2017 03:30 - 01.01.2017 03:45,70.297
01.01.2017 03:45 - 01.01.2017 04:00,84.296
01.01.2017 04:00 - 01.01.2017 04:15,52.970
01.01.2017 04:15 - 01.01.2017 04:30,15.960
01.01.2017 04:30 - 01.01.2017 04:45,24.155
01.01.2017 04:45 - 01.01.2017 05:00,49.561
01.01.2017 05:00 - 01.01.2017 05:15,8.307
01.01.2017 05:15 - 01.01.2017 05:30,47.888
01.01.2017 05:30 - 01.01.2017 05:45,24.138
01.01.2017 05:45 - 01.01.2017 06:00,30.996
01.01.2017 06:00 - 01.01.2017 06:15,42.016
01.01.2017 06:15 - 01.01.2017 06:30,71.985
01.01.2017 06:30 - 01.01.2017 06:45,22.894
01.01.2017 06:45 - 01.01.2017 07:00,28.124
01.01.2017 07:00 - 01.01.2017 07:15,54.002
01.01.2017 07:15 - 01.01.2017 07:30,12.002
01.01.2017 07:30 - 01.01.2017 07:45,28.085
01.01.2017 07:45 - 01.01.2017 08:00,28.154
01.01.2017 08:00 - 01.01.2017 08:15,37.874
01.01.2017 08:15 - 01.01.2017 08:30,25.913
01.01.2017 08:30 - 01.01.2017 08:45,9.489
01.01.2017 08:45 - 01.01.2017 09:00,59.615
01.01.2017 09:00 - 01.01.2017 09:15,91.551
01.01.2017 09:15 - 01.01.2017 09:30,24.599
01.01.2017 09:30 - 01.01.2017 09:45,19.347
01.01.2017 09:45 - 01.01.2017 10:00,66.818
01.01.2017 10:00 - 01.01.2017 10:15,40.810
01.01.2017 10:15 - 01.01.2017 10:30,97.097
01.01.2017 10:30 - 01.01.2017 10:45,0.267
01.01.2017 10:45 - 01.01.2017 11:00,4.605
01.01.2017 11:00 - 01.01.2017 11:15,47.813
01.01.2017 11:15 - 01.01.2017 11:30,39.093
01.01.2017 11:30 - 01.01.2017 11:45,31.486
01.01.2017 11:45 - 01.01.2017 12:00,72.481
01.01.2017 12:00 - 01.01.2017 12:15,1.238
01.01.2017 12:15 - 01.01.2017 12:30,51.566
01.01.2017 12:30 - 01.01.2017 12:45,93.397
01.01.2017 12:45 - 01.01.2017 13:00,19.437
01.01.2017 13:00 - 01.01.2017 13:15,31.266
01.01.2017 13:15 - 01.01.2017 13:30,55.337
01.01.2017 13:30 - 01.01.2017 13:45,19.644
01.01.2017 13:45 - 01.01.2017 14:00,84.225
01.01.2017 14:00 - 01.01.2017 14:15,94.719
01.01.2017 14:15 - 01.01.2017 14:30,37.712
01.01.2017 14:30 - 01.01.2017 14:45,16.755
01.01.2017 14:45 - 01.01.2017 15:00,13.577
01.01.2017 15:00 - 01.01.2017 15:15,8.589
01.01.2017 15:15 - 01.01.2017 15:30,65.810
01.01.2017 15:30 - 01.01.2017 15:45,99.031
01.01.2017 15:45 - 01.01.2017 16:00,87.962
01.01.2017 16:00 - 01.01.2017 16:15,78.931
01.01.2017 16:15 - 01.01.2017 16:30,98.784
01.01.2017 16:30 - 01.01.2017 16:45,52.435
01.01.2017 16:45 - 01.01.2017 17:00,19.488
01.01.2017 17:00 - 01.01.2017 17:15,21.923
01.01.2017 17:15 - 01.01.2017 17:30,45.049
01.01.2017 17:30 - 01.01.2017 17:45,73.367
01.01.2017 17:45 - 01.01.2017 18:00,37.370
01.01.2017 18:00 - 01.01.2017 18:15,48.932
01.01.2017 18:15 - 01.01.2017 18:30,89.261
01.01.2017 18:30 - 01.01.2017 18:45,60.369
01.01.2017 18:45 - 01.01.2017 19:00,26.744
01.01.2017 19:00 - 01.01.2017 19:15,25.797
01.01.2017 19:15 - 01.01.2017 19:30,98.629
01.01.2017 19:30 - 01.01.2017 19:45,90.348
01.01.2017 19:45 - 01.01.2017 20:00,92.823
01.01.2017 20:00 - 01.01.2017 20:15,6.070
01.01.2017 20:15 - 01.01.2017 20:30,27.240
01.01.2017 20:30 - 01.01.2017 20:45,1.814
01.01.2017 20:45 - 01.01.2017 21:00,5.736
01.01.2017 21:00 - 01.01.2017 21:15,39.963
01.01.2017 21:15 - 01.01.2017 21:30,1.118
01.01.2017 21:30 - 01.01.2017 21:45,71.019
01.01.2017 21:45 - 01.01.2017 22:00,55.248
01.01.2017 22:00 - 01.01.2017 22:15,39.818
01.01.2017 22:15 - 01.01.2017 22:30,34.085
01.01.2017 22:30 - 01.01.2017 22:45,22.440
01.01.2017 22:45 - 01.01.2017 23:00,16.159
01.01.2017 23:00 - 01.01.2017 23:15,71.958
01.01.2017 23:15 - 01.01.2017 23:30,2.560
01.01.2017 23:30 - 01.01.2017 23:45,20.662
01.01.2017 23:45 - 02.01.2017 00:00,28.265
02.01.2017 00:00 - 02.01.2017 00:15,90.394
02.01.2017 00:15 - 02.01.2017 00:30,39.721
02.01.2017 00:30 - 02.01.2017 00:45,21.415
02.01.2017 00:45 - 02.01.2017 01:00,43.689
02.01.2017 01:00 - 02.01.2017 01:15,39.595
02.01.2017 01:15 - 02.01.2017 01:30,9.959
02.01.2017 01:30 - 02.01.2017 01:45,42.508
02.01.2017 01:45 - 02.01.2017 02:00,35.178
02.01.2017 02:00 - 02.01.2017 02:15,15.275
02.01.2017 02:15 - 02.01.2017 02:30,71.572
02.01.2017 02:30 - 02.01.2017 02:45,68.976
02.01.2017 02:45 - 02.01.2017 03:00,27.498
02.01.2017 03:00 - 02.01.2017 03:15,91.112
02.01.2017 03:15 - 02.01.2017 03:30,79.919
02.01.2017 03:30 - 02.01.2017 03:45,28.103
02.01.2017 03:45 - 02.01.2017 04:00,62.106
02.01.2017 04:00 - 02.01.2017 04:15,31.315
02.01.2017 04:15 - 02.01.2017 04:30,1.249
02.01.2017 04:30 - 02.01.2017 04:45,72.715
02.01.2017 04:45 - 02.01.2017 05:00,70.571
02.01.2017 05:00 - 02.01.2017 05:15,34.297
02.01.2017 05:15 - 02.01.2017 05:30,11.123
02.01.2017 05:30 - 02.01.2017 05:45,30.365
02.01.2017 05:45 - 02.01.2017 06:00,38.357
02.01.2017 06:00 - 02.01.2017 06:15,66.828
02.01.2017 06:15 - 02.01.2017 06:30,91.659
02.01.2017 06:30 - 02.01.2017 06:45,68.047
02.01.2017 06:45 - 02.01.2017 07:00,66.847
02.01.2017 07:00 - 02.01.2017 07:15,45.479
02.01.2017 07:15 - 02.01.2017 07:30,98.534
02.01.2017 07:30 - 02.01.2017 07:45,26.665
02.01.2017 07:45 - 02.01.2017 08:00,14.270
02.01.2017 08:00 - 02.01.2017 08:15,56.006
02.01.2017 08:15 - 02.01.2017 08:30,52.591
02.01.2017 08:30 - 02.01.2017 08:45,82.178
02.01.2017 08:45 - 02.01.2017 09:00,34.437
02.01.2017 09:00 - 02.01.2017 09:15,6.872
02.01.2017 09:15 - 02.01.2017 09:30,76.024
02.01.2017 09:30 - 02.01.2017 09:45,13.579
02.01.2017 09:45 - 02.01.2017 10:00,47.725
02.01.2017 10:00 - 02.01.2017 10:15,14.285
